date,TRIMP,distance_km,duree_min,fc_moyenne,vitesse_moy,cadence_moy,CTL,ATL,TSB,semaine,annee
2025-01-21,0.0,0.0,0.0,,,,37.31,59.75,-22.44,4,2025
2025-01-22,0.0,0.0,0.0,,,,35.57,44.81,-9.24,4,2025
2025-01-23,106.95,12.024,66.45,147.33426042983564,11.015373754740835,83.91521133890154,38.89,60.35,-21.46,4,2025
2025-01-24,171.03,18.393,86.31666666666666,156.27601015030257,12.96033941050166,83.47489744090643,45.04,88.02,-42.98,4,2025
2025-01-25,82.0,10.80936,40.28333333333333,157.4577553593947,16.355586885245902,82.87789473684211,46.76,86.51,-39.75,4,2025
2025-01-25,79.84,9.493,49.516666666666666,147.40998641304347,11.523576766304348,85.18843537414966,48.29,84.84,-36.55,4,2025
2025-01-26,0.0,0.0,0.0,,,,46.05,63.63,-17.58,4,2025
2025-01-27,107.83,12.86912,59.38333333333333,152.48150240045186,13.075176616774923,81.7410234662143,48.92,74.68,-25.76,5,2025
2025-01-28,64.7,9.02882,44.91666666666666,142.7040059347181,12.052382047477746,81.8829866270431,49.66,72.19,-22.53,5,2025
2025-01-29,64.63,8.797,44.25,143.27484939759037,11.919951054216869,82.00075414781297,50.35,70.3,-19.95,5,2025
2025-01-29,66.93,8.211,41.8,147.1196406696611,12.999141363821968,81.73050224581462,51.12,69.46,-18.34,5,2025
2025-01-30,0.0,0.0,0.0,,,,48.75,52.09,-3.34,5,2025
2025-01-31,0.0,0.0,0.0,,,,46.48,39.07,7.41,5,2025
2025-02-01,179.05,21.009,85.31666666666666,158.8044921875,14.669677265625,83.30316653635653,52.64,74.06,-21.42,5,2025
2025-02-02,0.0,0.0,0.0,,,,50.2,55.55,-5.35,5,2025
2025-02-03,179.25,17.3157,80.01666666666667,161.70449812578093,12.97400566430654,79.02709462275948,56.2,86.47,-30.27,6,2025
2025-02-04,0.0,0.0,0.0,,,,53.58,64.86,-11.28,6,2025
2025-02-05,0.0,0.0,0.0,,,,51.09,48.64,2.45,6,2025
2025-02-06,54.75,7.577,39.15,141.4868085106383,11.596787234042552,83.64565587734242,51.26,50.17,1.09,6,2025
2025-02-06,68.11,7.73,34.916666666666664,155.5937198067633,14.092187826086956,77.94966118102614,52.05,54.65,-2.6,6,2025
2025-02-07,128.14,16.016,74.01666666666667,150.43264014466547,13.02354683544304,83.52578018995929,55.58,73.03,-17.45,6,2025
2025-02-07,58.33,7.534,33.31666666666667,150.914,13.5612648,81.4744488977956,55.71,69.35,-13.64,6,2025
2025-02-08,88.79,13.742,59.98333333333333,143.8318335208099,13.91236197975253,82.65990990990991,57.25,74.21,-16.96,6,2025
2025-02-09,0.0,0.0,0.0,,,,54.59,55.66,-1.07,6,2025
2025-02-10,0.0,0.0,0.0,,,,52.05,41.74,10.31,7,2025
2025-02-11,100.28,13.01927,59.95,148.96831573096165,13.02159622012229,83.09488035614913,54.29,56.38,-2.09,7,2025
2025-02-12,0.0,0.0,0.0,,,,51.77,42.28,9.49,7,2025
2025-02-13,0.0,0.0,0.0,,,,49.36,31.71,17.65,7,2025
2025-02-14,0.0,0.0,0.0,,,,47.06,23.78,23.28,7,2025
2025-02-15,0.0,0.0,0.0,,,,44.87,17.84,27.03,7,2025
2025-02-16,88.61,10.082,39.85,161.372491638796,15.05259933110368,84.40794979079497,46.91,35.53,11.38,7,2025
2025-02-16,90.95,10.33598,45.61666666666667,156.54784514243974,13.428558802045288,80.32213294375457,48.96,49.39,-0.43,7,2025
2025-02-17,58.05,9.991,45.11666666666667,138.0923423423423,13.502633783783784,80.93684210526315,49.38,51.55,-2.17,8,2025
2025-02-18,140.35,13.097,60.41666666666666,163.33452840595697,12.9996,81.33074792243767,53.61,73.75,-20.14,8,2025
