session_file,date,distance_km,duree_min,fc_moyenne,fc_max,vitesse_moy,cadence_moy,allure_min_km,month_year
468528950079946754.fit,2025-04-23,15.555,77.88333333333334,146.58814719726143,158.0,12.032388446726573,83.03811563169165,4.986541139828566,2025-04
468581088569098252.fit,2025-04-25,13.169,60.75,144.75726823916622,154.0,12.999600000000001,80.89179515418502,4.615526631588664,2025-04
468606529537343498.fit,2025-04-26,10.416,53.61666666666667,144.33312616532007,159.0,11.630313486637663,81.40385812072184,5.158932308139019,2025-04
468648788794310666.fit,2025-04-28,11.515,53.11666666666667,162.19447929736512,187.0,12.999600000000001,81.42123503465659,4.615526631588664,2025-04
468671638557196288.fit,2025-04-29,15.357,70.85,163.37817497648166,171.0,12.999600000000001,79.21081208687441,4.615526631588664,2025-04
468699811128836101.fit,2025-04-30,15.033,60.083333333333336,161.79173599556296,175.0,15.0012,80.95361111111112,3.999680025597952,2025-04
468741873083645963.fit,2025-05-02,13.089,60.38333333333333,162.40949227373068,190.0,12.9996,81.24611973392462,4.615526631588665,2025-05
468812572540305413.fit,2025-05-05,11.454,52.81666666666667,159.9365930599369,178.0,12.999600000000001,76.83438885370488,4.615526631588664,2025-05
468834633102950417.fit,2025-05-06,10.843,50.016666666666666,146.8327781479014,157.0,12.999600000000001,80.9682061579652,4.615526631588664,2025-05
468855896145952775.fit,2025-05-07,8.684,40.05,152.46422628951748,165.0,12.999600000000001,79.55183946488295,4.615526631588664,2025-05
468880748435243018.fit,2025-05-08,4.177,19.25,150.55536332179932,160.0,12.999600000000001,79.47027972027972,4.615526631588664,2025-05
468906767347122176.fit,2025-05-09,12.036,51.71666666666667,162.47696301103178,182.0,14.059239325113564,82.87719298245614,4.267656209025757,2025-05
468998099826671622.fit,2025-05-13,5.829,23.283333333333335,160.9856938483548,175.0,15.001199999999999,77.97622478386167,3.9996800255979523,2025-05
469020350175281154.fit,2025-05-14,11.395,45.55,161.57534747622532,175.0,15.0012,80.82022058823529,3.999680025597952,2025-05
